device_id,customer_id,device_type,operating_system,browser,ip_address,country,trusted_device,first_seen,last_seen
48,22,MOBILE,iOS,Safari,150.172.207.183,Côte d'Ivoire,YES,2025-03-06,2026-07-19
49,22,DESKTOP,Windows,Safari,17.187.197.52,Côte d'Ivoire,YES,2022-05-30,2026-07-02
50,23,DESKTOP,iOS,Edge,53.183.34.65,Côte d'Ivoire,YES,2022-07-03,2026-07-12
51,23,MOBILE,Android,Firefox,99.150.194.179,Côte d'Ivoire,YES,2022-10-07,2026-07-20
52,23,DESKTOP,iOS,Chrome,99.179.118.88,Côte d'Ivoire,NO,2023-09-13,2026-07-03
53,24,LAPTOP,Android,Chrome,19.34.17.124,Côte d'Ivoire,YES,2022-01-02,2026-07-26
54,25,DESKTOP,Android,Edge,172.191.0.141,Côte d'Ivoire,YES,2023-08-02,2026-07-08
55,26,MOBILE,macOS,Firefox,62.206.147.143,Côte d'Ivoire,NO,2023-05-24,2026-07-19
56,27,TABLET,iOS,Firefox,213.68.181.17,Côte d'Ivoire,YES,2024-10-18,2026-06-30
57,28,TABLET,macOS,Firefox,197.15.145.99,Côte d'Ivoire,NO,2025-06-11,2026-07-13
58,28,MOBILE,Android,Safari,63.37.159.222,Côte d'Ivoire,YES,2022-11-21,2026-07-09
59,28,MOBILE,Android,Edge,35.190.48.181,Côte d'Ivoire,YES,2026-03-09,2026-07-02
60,29,TABLET,Android,Edge,177.212.76.69,Côte d'Ivoire,YES,2021-12-31,2026-07-28
61,30,DESKTOP,Windows,Chrome,21.9.176.92,Côte d'Ivoire,YES,2022-01-21,2026-07-24
62,31,TABLET,Android,Edge,75.228.142.101,Côte d'Ivoire,YES,2022-02-26,2026-07-28
63,31,MOBILE,iOS,Firefox,79.13.148.165,Côte d'Ivoire,YES,2025-01-03,2026-07-05
64,31,LAPTOP,Windows,Edge,205.248.63.192,Côte d'Ivoire,YES,2021-11-29,2026-07-03
65,32,DESKTOP,Windows,Chrome,52.63.103.79,Côte d'Ivoire,YES,2023-10-17,2026-07-09
66,32,DESKTOP,Windows,Chrome,148.27.150.166,Côte d'Ivoire,YES,2023-08-09,2026-07-12
67,33,TABLET,iOS,Safari,51.51.38.240,Côte d'Ivoire,YES,2025-06-18,2026-07-15
68,34,MOBILE,Android,Chrome,204.148.145.124,Côte d'Ivoire,NO,2021-08-26,2026-07-22
69,34,LAPTOP,Android,Firefox,134.102.23.197,Côte d'Ivoire,YES,2022-03-13,2026-07-26
70,35,DESKTOP,iOS,Chrome,100.195.228.44,Côte d'Ivoire,YES,2022-09-13,2026-07-16
71,36,TABLET,iOS,Edge,215.209.45.140,Côte d'Ivoire,YES,2024-09-19,2026-07-13
72,37,DESKTOP,iOS,Edge,108.215.28.54,Côte d'Ivoire,YES,2026-01-27,2026-06-30
73,37,LAPTOP,macOS,Chrome,147.41.5.122,Côte d'Ivoire,YES,2022-06-15,2026-07-06
74,38,DESKTOP,iOS,Firefox,120.219.53.173,Côte d'Ivoire,YES,2026-04-12,2026-07-07
75,38,MOBILE,macOS,Chrome,124.215.175.76,Côte d'Ivoire,YES,2024-06-28,2026-07-09
76,39,LAPTOP,macOS,Firefox,144.229.28.185,Côte d'Ivoire,YES,2025-11-15,2026-07-23
77,40,LAPTOP,Android,Edge,112.208.18.128,Côte d'Ivoire,YES,2022-05-11,2026-07-20
78,41,MOBILE,Windows,Firefox,172.90.74.41,Côte d'Ivoire,YES,2021-08-09,2026-07-16
79,41,DESKTOP,Windows,Chrome,184.97.240.3,Côte d'Ivoire,YES,2022-12-13,2026-07-21
80,42,LAPTOP,Windows,Chrome,7.107.231.30,Côte d'Ivoire,YES,2026-05-06,2026-06-30
81,42,DESKTOP,Windows,Firefox,73.138.26.254,Côte d'Ivoire,YES,2026-03-20,2026-07-01
82,43,MOBILE,macOS,Edge,173.47.75.203,Côte d'Ivoire,YES,2025-03-25,2026-07-06
83,43,DESKTOP,Android,Edge,87.86.115.74,Côte d'Ivoire,YES,2021-11-29,2026-07-17
84,43,MOBILE,Windows,Firefox,101.127.194.92,Côte d'Ivoire,YES,2022-06-13,2026-07-17
85,44,TABLET,Windows,Safari,189.1.11.39,Côte d'Ivoire,YES,2022-11-21,2026-07-11
86,45,TABLET,iOS,Edge,213.170.105.186,Côte d'Ivoire,YES,2025-01-29,2026-07-01
87,45,DESKTOP,iOS,Firefox,109.80.161.180,Côte d'Ivoire,YES,2025-01-28,2026-07-12
88,45,MOBILE,Windows,Firefox,120.221.97.61,Côte d'Ivoire,YES,2024-10-29,2026-07-01
89,46,TABLET,macOS,Safari,215.30.45.80,Côte d'Ivoire,YES,2023-04-10,2026-07-22
90,46,LAPTOP,macOS,Edge,46.144.236.174,Côte d'Ivoire,YES,2023-06-21,2026-07-01
91,46,TABLET,Windows,Chrome,153.128.119.116,Côte d'Ivoire,YES,2024-05-13,2026-07-13
92,47,TABLET,iOS,Edge,216.238.151.139,Côte d'Ivoire,YES,2024-07-23,2026-07-24
93,48,LAPTOP,macOS,Chrome,53.49.143.54,Côte d'Ivoire,YES,2021-10-22,2026-07-05
94,49,LAPTOP,macOS,Safari,216.91.223.249,Côte d'Ivoire,YES,2023-02-03,2026-07-28
95,49,LAPTOP,Android,Chrome,203.97.250.205,Côte d'Ivoire,YES,2021-11-24,2026-07-05
96,49,LAPTOP,iOS,Safari,150.31.188.209,Côte d'Ivoire,YES,2024-03-29,2026-07-21
97,50,MOBILE,macOS,Edge,135.102.189.150,Côte d'Ivoire,YES,2024-11-06,2026-07-27
98,51,TABLET,macOS,Safari,96.90.231.83,Côte d'Ivoire,YES,2025-04-13,2026-06-30
99,51,DESKTOP,iOS,Safari,11.39.14.79,Côte d'Ivoire,YES,2024-09-02,2026-07-20
100,51,LAPTOP,Windows,Safari,85.33.255.83,Côte d'Ivoire,YES,2024-03-30,2026-07-06
101,52,DESKTOP,Android,Firefox,185.156.61.114,Côte d'Ivoire,YES,2025-11-20,2026-07-15
102,52,TABLET,Windows,Chrome,148.224.46.65,Côte d'Ivoire,YES,2024-12-30,2026-07-14
103,53,DESKTOP,iOS,Edge,2.196.113.186,Côte d'Ivoire,YES,2025-02-24,2026-07-18
104,54,TABLET,macOS,Safari,139.35.67.145,Côte d'Ivoire,YES,2026-06-01,2026-07-14
105,54,DESKTOP,macOS,Chrome,32.6.166.162,Côte d'Ivoire,YES,2024-02-28,2026-07-13
106,55,DESKTOP,macOS,Chrome,101.164.253.217,Côte d'Ivoire,NO,2025-07-12,2026-07-21
107,55,TABLET,macOS,Safari,22.214.164.83,Côte d'Ivoire,YES,2025-12-03,2026-07-22
108,55,LAPTOP,macOS,Edge,162.183.14.82,Côte d'Ivoire,YES,2022-04-18,2026-07-13
109,56,MOBILE,macOS,Firefox,13.92.238.93,Côte d'Ivoire,YES,2022-05-15,2026-07-11
110,56,DESKTOP,iOS,Safari,142.96.131.63,Côte d'Ivoire,NO,2023-04-08,2026-07-07
111,57,MOBILE,macOS,Chrome,79.171.128.12,Côte d'Ivoire,YES,2025-08-13,2026-07-29
112,57,DESKTOP,iOS,Safari,168.37.73.189,Côte d'Ivoire,YES,2025-06-12,2026-07-20
113,57,TABLET,macOS,Firefox,214.56.208.61,Côte d'Ivoire,YES,2024-11-02,2026-07-23
114,58,TABLET,macOS,Firefox,41.113.207.17,Côte d'Ivoire,YES,2021-08-15,2026-07-05
115,58,DESKTOP,Windows,Chrome,183.0.191.32,Côte d'Ivoire,YES,2023-01-26,2026-07-25
116,59,MOBILE,Windows,Edge,23.249.110.168,Côte d'Ivoire,YES,2022-08-10,2026-07-22
117,59,MOBILE,Android,Edge,93.188.182.255,Côte d'Ivoire,YES,2026-02-03,2026-07-27
118,59,MOBILE,iOS,Edge,156.83.31.125,Côte d'Ivoire,YES,2025-11-13,2026-07-20
119,60,MOBILE,iOS,Safari,175.145.59.39,Côte d'Ivoire,YES,2022-12-05,2026-07-23
120,60,TABLET,iOS,Chrome,23.233.99.78,Côte d'Ivoire,YES,2023-12-07,2026-07-25
121,60,LAPTOP,Windows,Chrome,23.167.230.243,Côte d'Ivoire,YES,2023-11-29,2026-07-21
122,61,DESKTOP,macOS,Edge,82.73.94.188,Côte d'Ivoire,YES,2023-07-27,2026-07-13
123,61,LAPTOP,Android,Firefox,37.40.47.50,Côte d'Ivoire,YES,2022-10-01,2026-07-07
124,62,MOBILE,Android,Firefox,114.113.227.238,Côte d'Ivoire,YES,2023-05-24,2026-07-03
125,62,TABLET,Android,Firefox,53.45.41.32,Côte d'Ivoire,YES,2026-03-10,2026-07-22
126,62,DESKTOP,macOS,Chrome,45.60.198.79,Côte d'Ivoire,YES,2025-02-23,2026-07-18
127,63,DESKTOP,iOS,Safari,208.160.1.120,Côte d'Ivoire,YES,2026-06-21,2026-07-18
128,63,TABLET,macOS,Safari,27.65.155.175,Côte d'Ivoire,YES,2024-02-11,2026-07-18
129,64,TABLET,Windows,Edge,169.107.68.250,Côte d'Ivoire,YES,2026-02-25,2026-07-26
130,64,MOBILE,Windows,Safari,163.135.83.148,Côte d'Ivoire,YES,2025-09-22,2026-07-10
131,64,DESKTOP,macOS,Firefox,125.241.76.34,Côte d'Ivoire,YES,2021-10-27,2026-07-18
132,65,LAPTOP,macOS,Edge,57.224.83.7,Côte d'Ivoire,YES,2022-12-23,2026-07-22
133,65,TABLET,Windows,Firefox,208.220.232.191,Côte d'Ivoire,YES,2024-12-04,2026-07-28
134,66,TABLET,Android,Edge,1.13.224.81,Côte d'Ivoire,YES,2022-04-15,2026-07-20
135,66,DESKTOP,macOS,Edge,93.140.119.167,Côte d'Ivoire,YES,2023-02-13,2026-07-02
136,66,DESKTOP,macOS,Chrome,122.158.107.19,Côte d'Ivoire,YES,2023-05-17,2026-07-22
137,67,DESKTOP,iOS,Firefox,56.67.154.153,Côte d'Ivoire,YES,2023-12-10,2026-07-20
138,68,DESKTOP,Windows,Safari,120.167.190.116,Côte d'Ivoire,NO,2025-07-29,2026-06-30
139,68,TABLET,Windows,Safari,177.170.175.108,Côte d'Ivoire,YES,2024-07-20,2026-07-10
140,69,LAPTOP,Android,Edge,130.147.150.220,Côte d'Ivoire,YES,2021-11-02,2026-07-12
141,69,LAPTOP,iOS,Edge,102.20.222.127,Côte d'Ivoire,YES,2022-11-14,2026-07-11
142,70,TABLET,Android,Edge,71.82.40.28,Côte d'Ivoire,YES,2026-05-16,2026-07-10
143,70,TABLET,iOS,Firefox,24.51.37.251,Côte d'Ivoire,YES,2024-09-17,2026-07-08
144,71,LAPTOP,Windows,Chrome,135.84.129.170,Côte d'Ivoire,NO,2022-12-19,2026-07-15
145,71,TABLET,iOS,Safari,65.164.183.24,Côte d'Ivoire,YES,2024-03-24,2026-07-27
146,71,MOBILE,Windows,Safari,152.5.7.122,Côte d'Ivoire,YES,2024-12-12,2026-07-09
147,72,LAPTOP,Android,Firefox,79.138.216.36,Côte d'Ivoire,NO,2022-06-10,2026-07-14
148,72,DESKTOP,Android,Chrome,168.61.250.237,Côte d'Ivoire,YES,2026-05-22,2026-07-01
149,73,MOBILE,iOS,Edge,59.106.139.154,Côte d'Ivoire,YES,2024-09-22,2026-07-03
150,74,MOBILE,iOS,Chrome,13.117.174.210,Côte d'Ivoire,YES,2021-09-06,2026-07-20
151,74,DESKTOP,iOS,Safari,172.216.36.195,Côte d'Ivoire,YES,2025-04-05,2026-07-17
152,75,TABLET,macOS,Firefox,157.108.94.149,Côte d'Ivoire,YES,2022-11-16,2026-07-21
153,75,MOBILE,Android,Edge,108.82.65.234,Côte d'Ivoire,YES,2026-02-25,2026-07-23
154,76,MOBILE,iOS,Edge,24.150.178.62,Côte d'Ivoire,YES,2024-04-25,2026-07-11
155,76,MOBILE,iOS,Chrome,172.177.124.81,Côte d'Ivoire,YES,2023-12-12,2026-07-21
156,77,DESKTOP,Windows,Chrome,119.111.114.37,Côte d'Ivoire,YES,2026-06-03,2026-07-29
157,77,TABLET,macOS,Chrome,149.135.133.180,Côte d'Ivoire,YES,2021-10-26,2026-07-23
158,77,TABLET,iOS,Safari,168.93.26.29,Côte d'Ivoire,YES,2025-09-20,2026-07-10
159,78,LAPTOP,Windows,Edge,48.136.216.142,Côte d'Ivoire,YES,2024-06-20,2026-07-13
160,79,TABLET,Windows,Safari,216.215.49.50,Côte d'Ivoire,YES,2026-04-20,2026-06-30
161,80,TABLET,macOS,Firefox,11.14.145.47,Côte d'Ivoire,YES,2022-04-20,2026-07-11
162,80,DESKTOP,macOS,Chrome,191.162.110.3,Côte d'Ivoire,YES,2026-04-18,2026-07-11
163,80,DESKTOP,Windows,Firefox,159.105.157.225,Côte d'Ivoire,YES,2025-05-21,2026-06-30
164,81,MOBILE,Windows,Chrome,78.46.162.175,Côte d'Ivoire,YES,2025-01-05,2026-07-11
165,82,DESKTOP,macOS,Firefox,55.158.7.245,Côte d'Ivoire,YES,2025-08-07,2026-07-26
166,83,DESKTOP,macOS,Chrome,14.206.221.21,Côte d'Ivoire,YES,2026-04-03,2026-07-16
167,83,DESKTOP,Windows,Firefox,61.10.41.149,Côte d'Ivoire,YES,2023-11-17,2026-07-14
168,83,LAPTOP,Windows,Safari,113.238.52.220,Côte d'Ivoire,YES,2023-03-19,2026-07-15
169,84,DESKTOP,Android,Safari,75.217.126.190,Côte d'Ivoire,YES,2023-03-16,2026-07-10
170,84,TABLET,Windows,Chrome,184.217.21.191,Côte d'Ivoire,NO,2026-01-13,2026-07-28
171,85,MOBILE,macOS,Safari,38.111.5.15,Côte d'Ivoire,YES,2023-03-24,2026-07-14
172,85,TABLET,macOS,Safari,114.222.254.25,Côte d'Ivoire,YES,2024-02-23,2026-06-30
173,86,TABLET,iOS,Firefox,136.25.239.107,Côte d'Ivoire,YES,2023-11-28,2026-07-02
174,87,DESKTOP,Android,Chrome,193.149.146.239,Côte d'Ivoire,NO,2022-08-25,2026-07-23
175,87,LAPTOP,iOS,Firefox,64.200.244.208,Côte d'Ivoire,YES,2026-06-16,2026-07-13
176,87,DESKTOP,Android,Edge,30.24.82.7,Côte d'Ivoire,NO,2024-06-21,2026-07-08
177,88,DESKTOP,Android,Edge,195.2.137.177,Côte d'Ivoire,YES,2025-08-21,2026-07-05
178,89,TABLET,Windows,Safari,175.52.166.26,Côte d'Ivoire,YES,2025-10-03,2026-07-03
179,89,DESKTOP,iOS,Safari,131.110.84.192,Côte d'Ivoire,YES,2022-11-12,2026-07-07
180,89,DESKTOP,iOS,Edge,164.220.130.161,Côte d'Ivoire,YES,2022-04-19,2026-07-12
181,90,DESKTOP,Windows,Firefox,90.162.152.91,Côte d'Ivoire,YES,2023-06-30,2026-07-25
182,90,TABLET,Windows,Safari,60.85.138.123,Côte d'Ivoire,YES,2024-02-07,2026-07-28
183,91,DESKTOP,Windows,Firefox,197.56.181.153,Côte d'Ivoire,YES,2026-05-30,2026-07-02
184,91,DESKTOP,macOS,Firefox,134.89.215.193,Côte d'Ivoire,YES,2023-05-05,2026-07-10
185,92,LAPTOP,macOS,Edge,120.166.69.157,Côte d'Ivoire,YES,2022-11-28,2026-07-11
186,92,DESKTOP,Android,Firefox,105.51.119.57,Côte d'Ivoire,YES,2022-11-27,2026-06-30
187,92,DESKTOP,macOS,Edge,62.19.11.202,Côte d'Ivoire,YES,2024-01-19,2026-07-01
188,93,LAPTOP,Windows,Chrome,116.134.3.179,Côte d'Ivoire,YES,2025-06-08,2026-07-03
189,94,MOBILE,macOS,Chrome,144.238.118.132,Côte d'Ivoire,YES,2023-04-04,2026-07-20
190,94,DESKTOP,iOS,Chrome,78.99.71.41,Côte d'Ivoire,YES,2022-11-03,2026-07-12
191,95,TABLET,macOS,Chrome,172.146.63.82,Côte d'Ivoire,YES,2022-01-30,2026-07-08
192,95,DESKTOP,Windows,Safari,164.158.38.35,Côte d'Ivoire,YES,2025-04-23,2026-07-06
193,96,MOBILE,iOS,Firefox,25.187.29.112,Côte d'Ivoire,NO,2024-12-30,2026-07-13
194,97,MOBILE,macOS,Chrome,15.230.149.208,Côte d'Ivoire,YES,2025-04-19,2026-07-03
195,97,MOBILE,macOS,Edge,155.166.91.143,Côte d'Ivoire,YES,2024-04-25,2026-07-29
196,97,MOBILE,Android,Firefox,113.118.19.46,Côte d'Ivoire,YES,2023-07-10,2026-07-27
197,98,TABLET,Windows,Safari,129.83.228.191,Côte d'Ivoire,YES,2023-11-13,2026-07-27
198,98,DESKTOP,iOS,Edge,75.54.83.46,Côte d'Ivoire,YES,2025-07-29,2026-07-25
199,99,DESKTOP,iOS,Safari,145.205.81.62,Côte d'Ivoire,NO,2023-02-12,2026-07-28
200,99,LAPTOP,iOS,Safari,31.188.55.191,Côte d'Ivoire,YES,2022-05-08,2026-07-22
201,99,DESKTOP,Windows,Chrome,53.84.236.191,Côte d'Ivoire,YES,2024-04-21,2026-07-05
202,100,TABLET,iOS,Chrome,218.141.192.107,Côte d'Ivoire,YES,2025-01-27,2026-07-24
203,100,TABLET,Windows,Safari,57.161.2.120,Côte d'Ivoire,YES,2026-04-03,2026-07-01
204,101,TABLET,iOS,Safari,26.16.134.72,Côte d'Ivoire,YES,2023-09-21,2026-07-15
205,101,MOBILE,iOS,Safari,89.222.1.14,Côte d'Ivoire,YES,2025-12-13,2026-06-30
206,102,TABLET,Windows,Chrome,157.145.5.63,Côte d'Ivoire,NO,2025-02-01,2026-07-02
207,102,DESKTOP,Windows,Chrome,98.228.236.147,Côte d'Ivoire,YES,2025-10-24,2026-07-21
208,102,MOBILE,macOS,Firefox,182.131.140.146,Côte d'Ivoire,YES,2023-11-05,2026-07-26
209,103,TABLET,iOS,Edge,82.111.17.207,Côte d'Ivoire,YES,2025-04-20,2026-07-23
210,104,LAPTOP,Android,Chrome,79.80.166.79,Côte d'Ivoire,YES,2022-12-03,2026-07-15
211,104,DESKTOP,Android,Firefox,7.67.144.159,Côte d'Ivoire,YES,2022-05-14,2026-07-10
212,104,MOBILE,Windows,Firefox,199.58.23.147,Côte d'Ivoire,YES,2025-07-01,2026-07-05
213,105,LAPTOP,iOS,Firefox,137.218.169.179,Côte d'Ivoire,YES,2025-10-24,2026-07-14
214,106,LAPTOP,Windows,Safari,12.95.242.200,Côte d'Ivoire,NO,2025-02-08,2026-07-23
215,106,TABLET,Windows,Chrome,192.111.153.73,Côte d'Ivoire,YES,2025-06-17,2026-07-26
216,107,LAPTOP,iOS,Safari,107.12.189.117,Côte d'Ivoire,NO,2025-11-24,2026-07-06
217,108,TABLET,Android,Safari,216.215.4.203,Côte d'Ivoire,YES,2025-02-07,2026-07-16
218,108,MOBILE,macOS,Firefox,206.35.43.107,Côte d'Ivoire,YES,2021-08-05,2026-07-13
219,108,TABLET,macOS,Firefox,191.171.34.56,Côte d'Ivoire,YES,2022-11-02,2026-07-21
220,109,DESKTOP,Android,Firefox,6.194.208.87,Côte d'Ivoire,NO,2024-05-26,2026-07-26
221,110,MOBILE,macOS,Firefox,188.18.26.210,Côte d'Ivoire,YES,2025-06-12,2026-07-15
222,111,LAPTOP,Android,Chrome,215.164.75.134,Côte d'Ivoire,YES,2026-06-09,2026-07-18
223,112,MOBILE,Android,Edge,118.146.136.233,Côte d'Ivoire,YES,2021-12-11,2026-07-15
224,112,LAPTOP,macOS,Safari,188.51.11.170,Côte d'Ivoire,YES,2024-11-09,2026-07-07
225,113,DESKTOP,iOS,Safari,17.47.67.194,Côte d'Ivoire,YES,2022-08-25,2026-07-24
226,113,DESKTOP,macOS,Firefox,195.83.246.107,Côte d'Ivoire,YES,2022-06-05,2026-07-21
227,113,TABLET,iOS,Safari,93.62.79.69,Côte d'Ivoire,YES,2021-09-14,2026-07-06
228,114,TABLET,Android,Firefox,41.225.13.227,Côte d'Ivoire,YES,2022-03-18,2026-07-22
229,115,TABLET,Android,Safari,184.123.17.14,Côte d'Ivoire,YES,2024-06-14,2026-07-19
230,115,MOBILE,macOS,Chrome,149.7.55.243,Côte d'Ivoire,YES,2026-02-10,2026-07-18
231,115,MOBILE,Android,Firefox,201.243.168.129,Côte d'Ivoire,YES,2026-03-05,2026-07-01
232,116,LAPTOP,Android,Edge,143.6.121.199,Côte d'Ivoire,YES,2024-01-07,2026-07-11
233,117,TABLET,iOS,Chrome,189.227.24.33,Côte d'Ivoire,YES,2022-05-30,2026-07-04
234,118,LAPTOP,Windows,Edge,25.149.57.224,Côte d'Ivoire,YES,2021-10-26,2026-07-02
235,119,LAPTOP,Android,Firefox,35.151.117.24,Côte d'Ivoire,YES,2024-01-26,2026-07-17
236,120,TABLET,Android,Edge,41.81.3.248,Côte d'Ivoire,YES,2023-08-26,2026-07-25
237,121,DESKTOP,Android,Chrome,43.134.13.85,Côte d'Ivoire,YES,2023-01-08,2026-07-08
238,122,MOBILE,macOS,Edge,88.123.155.22,Côte d'Ivoire,NO,2023-08-16,2026-07-24
239,122,MOBILE,Windows,Safari,212.148.107.158,Côte d'Ivoire,YES,2023-07-20,2026-07-22
240,123,MOBILE,macOS,Safari,157.105.154.96,Côte d'Ivoire,YES,2023-09-30,2026-06-30
241,124,DESKTOP,macOS,Chrome,222.227.90.202,Côte d'Ivoire,YES,2024-01-08,2026-07-26
242,125,LAPTOP,Android,Edge,111.17.83.63,Côte d'Ivoire,YES,2024-07-06,2026-07-28
243,125,TABLET,macOS,Firefox,59.39.224.174,Côte d'Ivoire,YES,2023-09-14,2026-07-22
244,126,DESKTOP,Android,Chrome,170.203.255.138,Côte d'Ivoire,YES,2024-11-05,2026-07-23
245,126,LAPTOP,macOS,Safari,88.104.69.202,Côte d'Ivoire,YES,2026-06-09,2026-07-17
246,126,DESKTOP,Windows,Safari,146.229.15.140,Côte d'Ivoire,YES,2021-10-05,2026-07-19
247,127,MOBILE,Windows,Safari,124.50.56.167,Côte d'Ivoire,YES,2025-10-19,2026-07-13
248,127,TABLET,Windows,Edge,183.93.33.63,Côte d'Ivoire,YES,2024-07-27,2026-07-10
249,127,DESKTOP,Android,Chrome,144.10.68.251,Côte d'Ivoire,YES,2022-09-26,2026-07-04
250,128,DESKTOP,Android,Firefox,209.66.243.35,Côte d'Ivoire,YES,2024-03-14,2026-07-21
251,129,MOBILE,Windows,Chrome,87.89.226.236,Côte d'Ivoire,YES,2022-09-10,2026-07-04
252,129,DESKTOP,Android,Firefox,218.116.123.171,Côte d'Ivoire,YES,2025-02-08,2026-07-08
253,129,TABLET,Android,Edge,103.118.163.91,Côte d'Ivoire,YES,2026-02-02,2026-07-24
254,130,LAPTOP,Android,Firefox,213.67.242.171,Côte d'Ivoire,YES,2023-10-05,2026-07-23
255,130,TABLET,Android,Firefox,195.46.57.143,Côte d'Ivoire,YES,2024-06-15,2026-07-05
