merchant_id,merchant_name,merchant_type,city,country,registration_date,risk_level
120,Louis,SUPERMARKET,Abidjan,Côte d'Ivoire,2014-12-21,LOW
121,Marty,E_COMMERCE,Abidjan,Côte d'Ivoire,2016-10-07,LOW
122,Hubert Laurent et Fils,PHARMACY,Man,Côte d'Ivoire,2014-11-11,HIGH
123,Boulanger,PHARMACY,Man,Côte d'Ivoire,2016-04-25,LOW
124,Leleu SARL,TRANSPORT,Korhogo,Côte d'Ivoire,2017-07-19,LOW
125,Potier,RESTAURANT,Man,Côte d'Ivoire,2025-12-05,MEDIUM
126,Leroy,ELECTRONICS,Abidjan,Côte d'Ivoire,2013-07-15,MEDIUM
127,Colin,CLOTHING,Korhogo,Côte d'Ivoire,2021-06-14,LOW
128,Morel,PHARMACY,Abidjan,Côte d'Ivoire,2013-06-02,LOW
129,Barre,SUPERMARKET,Yamoussoukro,Côte d'Ivoire,2023-12-21,LOW
130,Nguyen,FUEL_STATION,Man,Côte d'Ivoire,2021-11-20,LOW
131,Collin S.A.S.,ELECTRONICS,Daloa,Côte d'Ivoire,2014-10-23,LOW
132,Bertrand,CLOTHING,Man,Côte d'Ivoire,2023-08-20,LOW
133,Martin,FUEL_STATION,Daloa,Côte d'Ivoire,2020-06-02,LOW
134,Marchal Perret SA,PHARMACY,San Pedro,Côte d'Ivoire,2022-11-16,LOW
135,Ferrand,HOTEL,Daloa,Côte d'Ivoire,2016-11-30,MEDIUM
136,Fouquet SARL,FUEL_STATION,Yamoussoukro,Côte d'Ivoire,2020-03-15,LOW
137,Martineau,RESTAURANT,San Pedro,Côte d'Ivoire,2018-07-10,MEDIUM
138,Antoine,TELECOM,Bouake,Côte d'Ivoire,2023-06-09,LOW
139,Lenoir,TELECOM,Yamoussoukro,Côte d'Ivoire,2013-09-27,LOW
140,De Oliveira Chartier S.A.R.L.,FUEL_STATION,Bouake,Côte d'Ivoire,2023-02-05,LOW
141,Chauvet Colas SARL,FUEL_STATION,San Pedro,Côte d'Ivoire,2018-06-26,LOW
142,Bailly SARL,RESTAURANT,Daloa,Côte d'Ivoire,2015-02-25,LOW
143,Delorme,ELECTRONICS,San Pedro,Côte d'Ivoire,2021-11-23,LOW
144,Turpin,ELECTRONICS,Yamoussoukro,Côte d'Ivoire,2019-02-03,MEDIUM
145,Parent,RESTAURANT,Yamoussoukro,Côte d'Ivoire,2015-03-18,LOW
146,Guyon,E_COMMERCE,Abidjan,Côte d'Ivoire,2014-06-18,LOW
147,Jacquet S.A.S.,TRANSPORT,Yamoussoukro,Côte d'Ivoire,2022-11-14,MEDIUM
148,Morin,HOTEL,San Pedro,Côte d'Ivoire,2025-07-01,LOW
149,Maillet Ruiz S.A.,ELECTRONICS,Abidjan,Côte d'Ivoire,2025-04-18,LOW
150,Caron Laurent SA,CLOTHING,Bouake,Côte d'Ivoire,2015-09-28,LOW
151,Bourdon,TRANSPORT,Abidjan,Côte d'Ivoire,2026-01-12,LOW
152,Pineau S.A.R.L.,ELECTRONICS,Man,Côte d'Ivoire,2022-04-16,MEDIUM
153,Wagner Grenier S.A.R.L.,FUEL_STATION,Yamoussoukro,Côte d'Ivoire,2019-12-26,LOW
154,Berger,HOTEL,Korhogo,Côte d'Ivoire,2014-01-31,LOW
155,Hamel SA,RESTAURANT,Man,Côte d'Ivoire,2024-10-25,MEDIUM
156,Vasseur,ELECTRONICS,Yamoussoukro,Côte d'Ivoire,2014-07-26,LOW
157,Girard,HOTEL,San Pedro,Côte d'Ivoire,2021-01-21,LOW
158,Rivière Pineau S.A.,ELECTRONICS,Bouake,Côte d'Ivoire,2025-03-17,LOW
159,Martineau,TRANSPORT,Man,Côte d'Ivoire,2020-08-11,MEDIUM
160,Faivre,PHARMACY,Korhogo,Côte d'Ivoire,2019-02-08,LOW
161,Lévy,TRANSPORT,Korhogo,Côte d'Ivoire,2019-02-28,MEDIUM
162,Bernier Ollivier S.A.R.L.,E_COMMERCE,Yamoussoukro,Côte d'Ivoire,2015-12-26,LOW
163,Diaz Baron S.A.S.,CLOTHING,Korhogo,Côte d'Ivoire,2019-10-27,LOW
164,Paris Besnard SA,TELECOM,San Pedro,Côte d'Ivoire,2023-09-18,LOW
165,Huet,FUEL_STATION,Korhogo,Côte d'Ivoire,2016-03-13,LOW
166,Julien,PHARMACY,Man,Côte d'Ivoire,2020-10-06,LOW
167,Dos Santos S.A.,ELECTRONICS,Man,Côte d'Ivoire,2015-07-06,LOW
168,Lemonnier,HOTEL,Abidjan,Côte d'Ivoire,2014-03-05,MEDIUM
169,Andre Legros S.A.R.L.,FUEL_STATION,Man,Côte d'Ivoire,2017-03-16,LOW
170,Legros,FUEL_STATION,Bouake,Côte d'Ivoire,2012-08-19,LOW
171,De Oliveira Perrier S.A.S.,FUEL_STATION,San Pedro,Côte d'Ivoire,2023-05-29,LOW
172,Salmon S.A.S.,RESTAURANT,San Pedro,Côte d'Ivoire,2018-01-17,LOW
173,Robert,CLOTHING,Bouake,Côte d'Ivoire,2017-07-23,MEDIUM
174,Chrétien,TRANSPORT,San Pedro,Côte d'Ivoire,2018-03-18,LOW
175,Tanguy,PHARMACY,Man,Côte d'Ivoire,2024-04-16,LOW
176,Coulon Vasseur SARL,RESTAURANT,Daloa,Côte d'Ivoire,2018-12-28,LOW
177,Leroy,PHARMACY,Daloa,Côte d'Ivoire,2018-03-11,HIGH
178,Laroche,ELECTRONICS,San Pedro,Côte d'Ivoire,2023-02-17,LOW
179,Ramos,FUEL_STATION,Daloa,Côte d'Ivoire,2014-05-20,LOW
180,Rodriguez,PHARMACY,Daloa,Côte d'Ivoire,2022-02-28,LOW
181,Carlier S.A.S.,ELECTRONICS,Korhogo,Côte d'Ivoire,2021-03-06,LOW
182,Perez et Fils,TELECOM,Korhogo,Côte d'Ivoire,2018-11-13,MEDIUM
183,Pinto Vidal SA,ELECTRONICS,San Pedro,Côte d'Ivoire,2016-01-01,MEDIUM
184,Millet,ELECTRONICS,San Pedro,Côte d'Ivoire,2015-03-06,MEDIUM
185,Millet,TELECOM,San Pedro,Côte d'Ivoire,2017-04-26,LOW
186,Lopes,FUEL_STATION,Daloa,Côte d'Ivoire,2024-05-14,LOW
187,Fleury,ELECTRONICS,San Pedro,Côte d'Ivoire,2025-10-11,LOW
188,Lelièvre SA,E_COMMERCE,San Pedro,Côte d'Ivoire,2024-04-26,LOW
189,Marty S.A.,E_COMMERCE,Bouake,Côte d'Ivoire,2022-08-20,LOW
190,Valette et Fils,HOTEL,Korhogo,Côte d'Ivoire,2012-04-05,LOW
191,Hoarau S.A.,PHARMACY,Bouake,Côte d'Ivoire,2025-11-07,LOW
192,Loiseau S.A.,PHARMACY,Man,Côte d'Ivoire,2015-08-20,LOW
193,Reynaud Laroche SA,TRANSPORT,San Pedro,Côte d'Ivoire,2021-03-03,LOW
194,Turpin Bonnin SARL,TELECOM,San Pedro,Côte d'Ivoire,2024-08-15,LOW
195,Brun,TRANSPORT,San Pedro,Côte d'Ivoire,2021-11-18,MEDIUM
196,Merle S.A.,CLOTHING,Man,Côte d'Ivoire,2016-11-12,LOW
197,Delorme SA,CLOTHING,San Pedro,Côte d'Ivoire,2016-11-18,LOW
198,Chauvin,HOTEL,Yamoussoukro,Côte d'Ivoire,2023-09-27,MEDIUM
199,Sanchez Allain et Fils,TRANSPORT,Korhogo,Côte d'Ivoire,2025-09-14,MEDIUM
200,Henry Grenier SARL,ELECTRONICS,Daloa,Côte d'Ivoire,2026-01-15,LOW
201,Moreno SA,FUEL_STATION,San Pedro,Côte d'Ivoire,2017-06-25,LOW
202,Peltier,TRANSPORT,San Pedro,Côte d'Ivoire,2017-11-17,LOW
203,Guillou et Fils,HOTEL,Man,Côte d'Ivoire,2017-05-19,LOW
204,De Oliveira S.A.R.L.,TRANSPORT,Man,Côte d'Ivoire,2013-05-15,LOW
205,Étienne,TELECOM,Bouake,Côte d'Ivoire,2022-05-22,HIGH
206,Neveu,ELECTRONICS,Abidjan,Côte d'Ivoire,2014-03-06,MEDIUM
207,Schmitt,CLOTHING,Korhogo,Côte d'Ivoire,2024-01-22,LOW
208,Chauvet,RESTAURANT,Man,Côte d'Ivoire,2025-04-28,LOW
209,Turpin,TELECOM,Bouake,Côte d'Ivoire,2018-12-26,LOW
210,Breton,TRANSPORT,Yamoussoukro,Côte d'Ivoire,2026-01-24,LOW
211,Fernandez Lopes S.A.R.L.,HOTEL,Yamoussoukro,Côte d'Ivoire,2015-09-22,MEDIUM
212,Colas,TRANSPORT,Yamoussoukro,Côte d'Ivoire,2021-12-16,MEDIUM
213,Marques,TRANSPORT,Yamoussoukro,Côte d'Ivoire,2012-01-24,MEDIUM
214,Germain,TELECOM,Abidjan,Côte d'Ivoire,2014-09-01,MEDIUM
215,Lecomte,SUPERMARKET,Yamoussoukro,Côte d'Ivoire,2017-08-11,LOW
216,Leblanc,RESTAURANT,Daloa,Côte d'Ivoire,2016-05-01,HIGH
217,Berthelot,SUPERMARKET,Daloa,Côte d'Ivoire,2011-10-01,LOW
218,Clément Guillot et Fils,FUEL_STATION,Bouake,Côte d'Ivoire,2018-06-28,MEDIUM
219,Berthelot,CLOTHING,Bouake,Côte d'Ivoire,2024-06-22,LOW
220,Blot Ollivier et Fils,TELECOM,Man,Côte d'Ivoire,2023-09-08,LOW
221,Pons,FUEL_STATION,San Pedro,Côte d'Ivoire,2025-01-24,LOW
222,Morin SARL,HOTEL,Bouake,Côte d'Ivoire,2015-05-06,LOW
223,Jacquot,RESTAURANT,Daloa,Côte d'Ivoire,2015-09-18,MEDIUM
224,Dupré,E_COMMERCE,Abidjan,Côte d'Ivoire,2021-06-20,LOW
225,Reynaud,E_COMMERCE,Korhogo,Côte d'Ivoire,2020-12-28,LOW
226,Lamy,TRANSPORT,San Pedro,Côte d'Ivoire,2024-04-07,MEDIUM
227,Benard,FUEL_STATION,Abidjan,Côte d'Ivoire,2023-07-14,LOW
228,Dupuy,FUEL_STATION,Abidjan,Côte d'Ivoire,2016-10-16,LOW
229,Grondin,E_COMMERCE,Daloa,Côte d'Ivoire,2013-08-17,LOW
230,Gomes Mathieu et Fils,RESTAURANT,Daloa,Côte d'Ivoire,2020-09-09,HIGH
231,Olivier Fabre et Fils,SUPERMARKET,Yamoussoukro,Côte d'Ivoire,2019-10-24,LOW
232,Ramos,HOTEL,Abidjan,Côte d'Ivoire,2021-08-09,LOW
233,Roussel,HOTEL,Abidjan,Côte d'Ivoire,2025-09-27,MEDIUM
234,Collet Dumas SARL,TELECOM,Abidjan,Côte d'Ivoire,2014-08-18,LOW
235,Garcia,HOTEL,Man,Côte d'Ivoire,2023-08-15,MEDIUM
236,Paris Lambert SA,TELECOM,Man,Côte d'Ivoire,2020-12-27,LOW
237,Rocher,PHARMACY,Man,Côte d'Ivoire,2013-09-21,LOW
238,Henry,E_COMMERCE,Korhogo,Côte d'Ivoire,2026-06-03,MEDIUM
239,Baudry SARL,ELECTRONICS,Daloa,Côte d'Ivoire,2019-07-24,LOW
240,Besnard,TRANSPORT,Daloa,Côte d'Ivoire,2017-05-16,MEDIUM
241,Roux Fleury S.A.R.L.,E_COMMERCE,Yamoussoukro,Côte d'Ivoire,2013-07-07,MEDIUM
242,Maréchal S.A.R.L.,RESTAURANT,Yamoussoukro,Côte d'Ivoire,2012-11-01,MEDIUM
243,Fernandes S.A.,FUEL_STATION,Daloa,Côte d'Ivoire,2025-05-17,LOW
244,Clément,CLOTHING,Man,Côte d'Ivoire,2015-10-19,LOW
245,Pascal S.A.R.L.,SUPERMARKET,San Pedro,Côte d'Ivoire,2021-11-21,MEDIUM
246,Diallo Barbe S.A.R.L.,PHARMACY,San Pedro,Côte d'Ivoire,2019-03-29,LOW
247,Léger,E_COMMERCE,Yamoussoukro,Côte d'Ivoire,2026-03-17,LOW
248,Schneider,CLOTHING,Man,Côte d'Ivoire,2021-04-01,MEDIUM
249,Bourdon et Fils,ELECTRONICS,Abidjan,Côte d'Ivoire,2013-04-06,LOW
250,Toussaint Lecomte SARL,FUEL_STATION,Abidjan,Côte d'Ivoire,2022-10-23,LOW
251,Barbier S.A.,TRANSPORT,San Pedro,Côte d'Ivoire,2014-07-14,LOW
252,Barbier SA,FUEL_STATION,Man,Côte d'Ivoire,2018-07-11,LOW
253,Lagarde,TELECOM,San Pedro,Côte d'Ivoire,2021-09-04,MEDIUM
254,Klein,RESTAURANT,Yamoussoukro,Côte d'Ivoire,2012-02-17,LOW
255,Hervé Munoz SARL,FUEL_STATION,Yamoussoukro,Côte d'Ivoire,2023-07-15,LOW
256,Guérin,HOTEL,San Pedro,Côte d'Ivoire,2023-04-09,LOW
257,Aubry Toussaint S.A.S.,HOTEL,San Pedro,Côte d'Ivoire,2022-10-28,HIGH
258,Lamy Noël S.A.S.,ELECTRONICS,Yamoussoukro,Côte d'Ivoire,2015-05-26,LOW
259,Da Costa Blanchard SA,TELECOM,Yamoussoukro,Côte d'Ivoire,2012-08-03,LOW
260,Le Gall Valentin et Fils,FUEL_STATION,Abidjan,Côte d'Ivoire,2025-08-06,MEDIUM
261,Navarro,HOTEL,Abidjan,Côte d'Ivoire,2013-09-09,MEDIUM
262,Lagarde,PHARMACY,Bouake,Côte d'Ivoire,2016-09-30,LOW
263,Maillard,TELECOM,Yamoussoukro,Côte d'Ivoire,2020-02-02,MEDIUM
264,Navarro,ELECTRONICS,Korhogo,Côte d'Ivoire,2012-12-10,LOW
265,Lesage et Fils,RESTAURANT,Daloa,Côte d'Ivoire,2017-01-21,LOW
266,Michel,FUEL_STATION,Yamoussoukro,Côte d'Ivoire,2013-02-16,LOW
267,Parent Bruneau S.A.S.,SUPERMARKET,Man,Côte d'Ivoire,2011-12-05,LOW
268,Verdier,E_COMMERCE,Abidjan,Côte d'Ivoire,2012-04-04,HIGH
269,Lelièvre Paul et Fils,ELECTRONICS,Yamoussoukro,Côte d'Ivoire,2019-02-05,LOW
270,Arnaud,PHARMACY,Man,Côte d'Ivoire,2021-07-14,MEDIUM
271,Bousquet,TELECOM,Abidjan,Côte d'Ivoire,2025-06-05,MEDIUM
272,Robin,CLOTHING,Yamoussoukro,Côte d'Ivoire,2019-07-28,LOW
273,Lejeune,TELECOM,Yamoussoukro,Côte d'Ivoire,2017-03-31,LOW
274,Leconte,SUPERMARKET,Yamoussoukro,Côte d'Ivoire,2013-05-09,MEDIUM
275,Boulanger Bouchet et Fils,TELECOM,Abidjan,Côte d'Ivoire,2020-01-02,MEDIUM
276,Dupré,TRANSPORT,San Pedro,Côte d'Ivoire,2018-05-22,LOW
277,De Sousa SA,SUPERMARKET,Bouake,Côte d'Ivoire,2016-12-04,LOW
278,Breton,CLOTHING,Yamoussoukro,Côte d'Ivoire,2013-07-19,LOW
279,Buisson,FUEL_STATION,Abidjan,Côte d'Ivoire,2025-08-10,LOW
280,Descamps S.A.S.,TRANSPORT,Korhogo,Côte d'Ivoire,2019-06-08,LOW
281,Vincent,CLOTHING,Bouake,Côte d'Ivoire,2014-10-07,MEDIUM
282,Loiseau,TRANSPORT,San Pedro,Côte d'Ivoire,2024-06-11,MEDIUM
283,Toussaint,E_COMMERCE,Daloa,Côte d'Ivoire,2019-02-04,LOW
284,Martins SARL,TRANSPORT,Yamoussoukro,Côte d'Ivoire,2020-12-01,LOW
285,Hervé Navarro et Fils,SUPERMARKET,Korhogo,Côte d'Ivoire,2019-10-27,HIGH
286,Leroy et Fils,RESTAURANT,Daloa,Côte d'Ivoire,2021-12-07,LOW
287,Lacombe Leroux SARL,FUEL_STATION,Yamoussoukro,Côte d'Ivoire,2020-12-11,LOW
288,Courtois S.A.R.L.,PHARMACY,Bouake,Côte d'Ivoire,2013-02-28,LOW
289,Noël Pinto SA,RESTAURANT,Bouake,Côte d'Ivoire,2022-08-05,LOW
290,Didier Auger SARL,TELECOM,Man,Côte d'Ivoire,2020-03-26,LOW
291,Legros,E_COMMERCE,Abidjan,Côte d'Ivoire,2025-10-10,LOW
292,Georges,E_COMMERCE,Man,Côte d'Ivoire,2015-09-21,MEDIUM
293,Courtois,RESTAURANT,Man,Côte d'Ivoire,2014-01-13,LOW
294,Aubert,E_COMMERCE,Daloa,Côte d'Ivoire,2021-10-09,MEDIUM
295,Muller Baron S.A.R.L.,CLOTHING,Man,Côte d'Ivoire,2017-05-10,MEDIUM
296,Bernard,FUEL_STATION,San Pedro,Côte d'Ivoire,2016-05-21,LOW
297,Coste,FUEL_STATION,Man,Côte d'Ivoire,2021-06-10,LOW
298,Gérard,E_COMMERCE,Daloa,Côte d'Ivoire,2019-03-04,LOW
299,Barre,SUPERMARKET,Bouake,Côte d'Ivoire,2017-03-25,MEDIUM
